t	x1	y1	x2	y2	x3	y3
2.16	0.312202	2.48043	0.144372	2.95142	0.480031	2.00944
2.18	0.368022	2.47276	0.223658	2.95147	0.512386	1.99406
2.2	0.422595	2.46402	0.307203	2.95053	0.537987	1.97752
2.22	0.47557	2.45435	0.394626	2.94775	0.556513	1.96095
2.24	0.526604	2.44391	0.485423	2.94221	0.567786	1.94561
2.26	0.575374	2.43289	0.578924	2.93288	0.571824	1.9329
2.28	0.621571	2.4215	0.674251	2.91871	0.56889	1.92428
2.3	0.664904	2.40996	0.770285	2.89873	0.559524	1.92119
2.32	0.705107	2.3985	0.865653	2.87203	0.544561	1.92498
2.34	0.741931	2.38737	0.958734	2.83792	0.525128	1.93682
2.36	0.775148	2.37679	1.04769	2.79598	0.502607	1.9576
2.38	0.804554	2.367	1.13052	2.74614	0.478583	1.98787
2.4	0.829961	2.35821	1.20517	2.68869	0.454751	2.02773
2.42	0.851204	2.35063	1.26959	2.6244	0.432818	2.07685
2.44	0.868132	2.34443	1.32189	2.55444	0.414376	2.13442
2.46	0.880614	2.33977	1.36044	2.48037	0.40079	2.19917
2.48	0.888534	2.33677	1.38398	2.40406	0.393082	2.26948
2.5	0.891789	2.33553	1.39173	2.32762	0.391851	2.34345
2.52	0.890293	2.3361	1.38337	2.25321	0.397212	2.419
2.54	0.883973	2.3385	1.35916	2.18296	0.408783	2.49405
2.56	0.872772	2.34271	1.31983	2.1188	0.425709	2.56661
2.58	0.856647	2.34865	1.26657	2.06236	0.446725	2.63494
2.6	0.835573	2.35623	1.2009	2.01485	0.47025	2.69761
2.62	0.809545	2.3653	1.12459	1.97704	0.494498	2.75356
2.64	0.77858	2.37567	1.03956	1.94919	0.517601	2.80216
2.66	0.742718	2.38713	0.947707	1.93108	0.53773	2.84317
2.68	0.702029	2.39941	0.850864	1.92207	0.553195	2.87674
2.7	0.656614	2.41223	0.750695	1.92116	0.562532	2.9033
2.72	0.606606	2.42529	0.648654	1.92706	0.564559	2.92352
2.74	0.55218	2.43826	0.54596	1.9383	0.5584	2.93822
2.76	0.493548	2.4508	0.4436	1.9533	0.543496	2.9483
2.78	0.430965	2.46257	0.342347	1.97049	0.519582	2.95466
2.8	0.36473	2.47325	0.242804	1.98835	0.486655	2.95816
2.82	0.295184	2.48251	0.145442	2.00546	0.444925	2.95956
2.84	0.22271	2.49006	0.0506534	2.0206	0.394767	2.95952
2.86	0.147733	2.49563	-0.0412039	2.0327	0.33667	2.95856
2.88	0.0707109	2.499	-0.129766	2.04095	0.271187	2.95705
2.9	-0.00786589	2.49999	-0.21463	2.04474	0.198898	2.95523
2.92	-0.0874819	2.49847	-0.295339	2.04372	0.120375	2.95322
2.94	-0.167604	2.49438	-0.37137	2.03778	0.0361619	2.95097
2.96	-0.247687	2.4877	-0.442139	2.02706	-0.0532357	2.94834
2.98	-0.327186	2.4785	-0.507023	2.01196	-0.147349	2.94504
3	-0.405559	2.46689	-0.565384	1.99312	-0.245733	2.94065
3.02	-0.482277	2.45304	-0.616612	1.97142	-0.347942	2.93466
3.04	-0.556833	2.4372	-0.660169	1.94799	-0.453496	2.9264
3.06	-0.628746	2.41964	-0.69565	1.92414	-0.561843	2.91515
3.08	-0.697568	2.40071	-0.722828	1.90135	-0.672308	2.90007
3.1	-0.762886	2.38076	-0.741715	1.88121	-0.784057	2.88031
3.12	-0.824325	2.36019	-0.752598	1.86536	-0.896052	2.85502
3.14	-0.881552	2.33942	-0.756074	1.85542	-1.00703	2.82342
3.16	-0.934271	2.31887	-0.753053	1.85286	-1.11549	2.78487
3.18	-0.982228	2.29896	-0.744745	1.85896	-1.21971	2.73896
3.2	-1.0252	2.28012	-0.732614	1.87467	-1.31779	2.68558
3.22	-1.063	2.26275	-0.718308	1.90055	-1.40769	2.62494
3.24	-1.09547	2.24721	-0.703557	1.93672	-1.48738	2.5577
3.26	-1.12247	2.23384	-0.690064	1.9828	-1.55488	2.48489
3.28	-1.14389	2.22295	-0.679378	2.03793	-1.6084	2.40797
3.3	-1.15962	2.21479	-0.672775	2.10084	-1.64646	2.32874
3.32	-1.16957	2.20955	-0.671148	2.16985	-1.66799	2.24925
3.34	-1.17366	2.20738	-0.674936	2.24305	-1.67239	2.17171
3.36	-1.17182	2.20836	-0.684077	2.31839	-1.65956	2.09833
3.38	-1.16397	2.2125	-0.698006	2.39382	-1.62994	2.03118
3.4	-1.15005	2.21977	-0.715693	2.46743	-1.5844	1.97211
3.42	-1.12999	2.23005	-0.735721	2.53754	-1.52427	1.92256
3.44	-1.10375	2.24315	-0.756386	2.60278	-1.45112	1.88352
3.46	-1.07129	2.25883	-0.775818	2.66219	-1.36677	1.85548
3.48	-1.03259	2.27679	-0.792107	2.71515	-1.27308	1.83842
3.5	-0.987658	2.29664	-0.803419	2.76145	-1.1719	1.83182
3.52	-0.936527	2.31796	-0.808097	2.80118	-1.06496	1.83473
3.54	-0.879278	2.34027	-0.804738	2.83468	-0.953818	1.84586
3.56	-0.816035	2.36307	-0.792249	2.8625	-0.839821	1.86363
3.58	-0.746976	2.3858	-0.769861	2.88527	-0.72409	1.88632
3.6	-0.67234	2.4079	-0.737139	2.90368	-0.607541	1.91211
3.62	-0.592432	2.42879	-0.693951	2.91838	-0.490914	1.93921
3.64	-0.507626	2.44792	-0.640438	2.92996	-0.374815	1.96588
3.66	-0.418366	2.46475	-0.576964	2.93893	-0.259769	1.99057
3.68	-0.325167	2.47876	-0.504068	2.94566	-0.146266	2.01186
3.7	-0.228607	2.48953	-0.42241	2.95044	-0.0348045	2.02861
3.72	-0.129328	2.49665	-0.332727	2.95341	0.0740711	2.03989
3.74	-0.0280194	2.49984	-0.235789	2.95463	0.17975	2.04506
3.76	0.0745879	2.49889	-0.132366	2.95405	0.281542	2.04373
3.78	0.177736	2.49367	-0.0232103	2.95152	0.378683	2.03583
3.8	0.280655	2.4842	0.0909638	2.94682	0.470345	2.02158
3.82	0.382574	2.47055	0.209475	2.93963	0.555674	2.00147
3.84	0.482744	2.45295	0.331666	2.92958	0.633822	1.97632
3.86	0.580441	2.43168	0.456883	2.91618	0.703999	1.94719
3.88	0.674989	2.40715	0.584446	2.89889	0.765531	1.91542
3.9	0.765762	2.37983	0.713607	2.87711	0.817917	1.88256
3.92	0.8522	2.35027	0.843513	2.85019	0.860887	1.85034
3.94	0.933808	2.31905	0.973162	2.8175	0.894454	1.8206
3.96	1.01016	2.28683	1.10137	2.77844	0.918952	1.79522
3.98	1.08091	2.25425	1.22676	2.7325	0.93506	1.77599
4	1.14576	2.22199	1.34772	2.67938	0.943795	1.76459
4.02	1.20449	2.19071	1.4625	2.619	0.946485	1.76242
4.04	1.25694	2.16104	1.56916	2.55158	0.94471	1.77051
4.06	1.30297	2.13361	1.66572	2.47772	0.940214	1.7895
4.08	1.3425	2.10896	1.7502	2.3984	0.934795	1.81951
4.1	1.37547	2.0876	1.82076	2.31502	0.930183	1.86018
4.12	1.40184	2.06999	1.87577	2.22933	0.927908	1.91065
4.14	1.42157	2.05649	1.91397	2.14336	0.929177	1.96961
4.16	1.43463	2.04739	1.93449	2.05936	0.934778	2.03543
4.18	1.44098	2.04293	1.93696	1.97965	0.945005	2.10622
4.2	1.44057	2.04323	1.9215	1.90648	0.95963	2.17997
4.22	1.43331	2.04832	1.88872	1.8419	0.977911	2.25474
4.24	1.41914	2.05816	1.83964	1.78764	0.998647	2.32869
4.26	1.39796	2.07261	1.77565	1.74498	1.02026	2.40025
4.28	1.36965	2.09143	1.69838	1.71469	1.04091	2.46817
4.3	1.3341	2.11428	1.60959	1.69701	1.05862	2.53154
4.32	1.29122	2.14074	1.51104	1.69165	1.0714	2.58982
4.34	1.24091	2.17029	1.40446	1.69779	1.07736	2.64278
4.36	1.18311	2.20233	1.2914	1.7142	1.07482	2.69046
4.38	1.1178	2.23618	1.17323	1.73927	1.06237	2.7331
4.4	1.04503	2.27111	1.05111	1.77114	1.03894	2.77107
4.42	0.964891	2.30629	0.925987	1.80781	1.00379	2.80478
4.44	0.87759	2.34091	0.798647	1.84718	0.956532	2.83463
4.46	0.783411	2.37408	0.669729	1.88718	0.897093	2.86099
4.48	0.682748	2.40496	0.539799	1.92583	0.825697	2.88409
4.5	0.576104	2.43272	0.409394	1.96133	0.742813	2.9041
4.52	0.464092	2.45655	0.27908	1.99204	0.649105	2.92106
4.54	0.347436	2.47574	0.149486	2.01659	0.545385	2.93489
4.56	0.226956	2.48968	0.0213423	2.03391	0.432569	2.94544
4.58	0.103561	2.49785	-0.104511	2.0432	0.311633	2.9525
4.6	-0.0217701	2.49991	-0.227118	2.04402	0.183578	2.95579
4.62	-0.148012	2.49561	-0.345428	2.03624	0.0494038	2.95499
4.64	-0.274113	2.48493	-0.45832	2.0201	-0.089907	2.94976
4.66	-0.399025	2.46795	-0.56465	1.99618	-0.233399	2.93972
4.68	-0.521722	2.44496	-0.663306	1.96542	-0.380137	2.92449
4.7	-0.641231	2.41637	-0.753265	1.92908	-0.529196	2.90365
4.72	-0.75665	2.38275	-0.833668	1.88871	-0.679631	2.87678
4.74	-0.867167	2.34479	-0.903882	1.84614	-0.830452	2.84344
4.76	-0.972073	2.30327	-0.963564	1.80335	-0.980581	2.8032
4.78	-1.07077	2.25908	-1.01271	1.76246	-1.12883	2.7557
4.8	-1.16278	2.21313	-1.0517	1.72562	-1.27385	2.70064
4.82	-1.24772	2.16638	-1.0813	1.69489	-1.41414	2.63787
4.84	-1.32534	2.11978	-1.10264	1.67211	-1.54805	2.56744
4.86	-1.39548	2.07428	-1.11719	1.65888	-1.67376	2.48968
4.88	-1.45804	2.03079	-1.12668	1.65636	-1.78941	2.40522
4.9	-1.51302	1.99017	-1.13297	1.66527	-1.89308	2.31506
4.92	-1.56045	1.9532	-1.13796	1.6858	-1.98294	2.2206
4.94	-1.60041	1.9206	-1.14346	1.71763	-2.05736	2.12357
4.96	-1.63296	1.893	-1.15099	1.75994	-2.11493	2.02606
4.98	-1.65821	1.87092	-1.16175	1.81147	-2.15466	1.93038
5	-1.67621	1.85481	-1.17646	1.87064	-2.17596	1.83899
5.02	-1.68701	1.84499	-1.1953	1.93565	-2.17873	1.75433
5.04	-1.69063	1.84168	-1.21792	2.00463	-2.16333	1.67873
5.06	-1.68701	1.845	-1.24344	2.07575	-2.13057	1.61424
5.08	-1.67608	1.85493	-1.27051	2.14737	-2.08164	1.5625
5.1	-1.6577	1.87137	-1.29742	2.21806	-2.01799	1.52468
5.12	-1.63171	1.89407	-1.32219	2.28675	-1.94123	1.5014
5.14	-1.5979	1.92268	-1.34273	2.35267	-1.85306	1.4927
