Time 	Torso x	 Torso y 	Head x 	Head y 	Arm x 	Arm y 	Thigh x 	Thigh y 	Tibia x 	Tibia y 	Foot x 	Foot y	Robot x 	Robot y
0.882	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.9	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.918	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.936	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.954	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.972	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.99	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.008	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.026	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.044	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.062	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.08	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.098	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.116	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.134	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.152	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.17	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.188	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.206	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.224	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.242	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.26	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.278	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.296	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.314	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.332	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.35	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.368	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.386	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.404	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.422	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.44	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.458	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.476	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.494	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.512	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.53	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.548	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.566	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.584	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.602	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.62	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.638	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.656	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.674	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.692	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.71	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.728	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.746	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.764	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.782	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
1.8	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
