Time,AX,AY,AZ,GX,GY,GZ,SE0,SE1,SE2,SE3,BE
1549989887.02, -1.73399424553, -0.526904344559, -9.28309631348, -0.0106526445597, -0.110254868865, 0.0362189933658, -1.05494505495, 0.0, 0.0, 0.0, -37.96875
1549989887.12, -1.56155276299, -0.622705101967, -9.12981510162, 0.0042610578239, 0.102265387774, 0.0170442312956, -1.05494505495, 0.0, 0.0, 0.0, -40.078125
1549989887.22, -1.58071291447, -0.632285177708, -9.28309631348, 0.0242347661406, 0.308926701546, 0.00585895450786, -0.967032967033, 0.0, 0.0, 0.0, -40.78125
1549989887.32, -1.47533214092, -0.670605480671, -9.848320961, 0.0340884625912, 0.529702723026, 0.0125168571249, -0.791208791209, 0.0, 0.0, 0.0, -40.4296875
1549989887.42, -1.77231454849, -0.66102540493, -10.0399227142, 0.0404800474644, 0.654072403908, 0.0242347661406, -0.703296703297, 0.0, 0.0, 0.0, -42.01171875
1549989887.52, -1.87769544125, -0.670605480671, -10.4710254669, 0.0513990111649, 0.77471357584, 0.0135821215808, -0.527472527473, 0.0, 0.0, 0.0, -44.6484375
1549989887.62, -1.90643560886, -0.66102540493, -10.691368103, 0.0617853403091, 0.847151577473, -0.00452737417072, -0.615384615385, 0.0, 0.0, 0.0, -32.34375
1549989887.72, -1.97349619865, -0.613125026226, -10.7201080322, 0.067644290626, 0.8759136796, 0.00372842559591, -0.791208791209, 0.0, 0.0, 0.0, -28.125
1549989887.82, -1.92559576035, -0.603544950485, -10.4710254669, 0.0652474462986, 0.833036780357, 0.0125168571249, -0.967032967033, 0.0, 0.0, 0.0, -23.73046875
1549989887.92, -1.84895515442, -0.670605480671, -10.2027835846, 0.05752427876, 0.787763059139, 0.00532632227987, -1.14285714286, 0.0, 0.0, 0.0, -18.80859375
1549989888.02, -1.73399424553, -0.680185556412, -9.85790061951, 0.0484695322812, 0.563258588314, -0.00133158056997, -1.14285714286, 0.0, 0.0, 0.0, -21.62109375
1549989888.12, -1.66693365574, -0.603544950485, -9.41721725464, 0.0362189933658, 0.429035246372, 0.0135821215808, -0.879120879121, 0.0, 0.0, 0.0, -9.84375
1549989888.22, -1.66693365574, -0.603544950485, -9.14897537231, 0.0205063410103, 0.281762450933, 0.033822145313, -0.703296703297, 0.0, 0.0, 0.0, -6.50390625
1549989888.32, -1.60945320129, -0.622705101967, -8.99569416046, 0.00372842559591, 0.120907522738, 0.0263652950525, -0.615384615385, 0.0, 0.0, 0.0, -3.8671875
1549989888.42, -1.59029304981, -0.593964874744, -9.06275463104, -0.00878843199462, -0.0828243121505, 0.0109189609066, -0.43956043956, 0.0, 0.0, 0.0, -2.28515625
1549989888.52, -1.63819348812, -0.584384799004, -9.27351570129, -0.0263652950525, -0.321709871292, 0.0221042372286, -0.43956043956, 0.0, 0.0, 0.0, -1.93359375
1549989888.62, -1.7052539587, -0.603544950485, -9.70461940765, -0.0335558317602, -0.486026912928, 0.0324905663729, -0.527472527473, 0.0, 0.0, 0.0, -2.63671875
1549989888.72, -1.73399424553, -0.632285177708, -10.1261434555, -0.0551274344325, -0.636761844158, 0.0463390052319, -0.703296703297, 0.0, 0.0, 0.0, -4.21875
1549989888.82, -1.87769544125, -0.680185556412, -10.5189266205, -0.0513990111649, -0.747815668583, 0.0359526760876, -0.791208791209, 0.0, 0.0, 0.0, -6.15234375
1549989888.92, -1.88727545738, -0.680185556412, -10.7009477615, -0.0593884922564, -0.790958881378, 0.0234358180314, -0.791208791209, 0.0, 0.0, 0.0, -10.8984375
1549989889.02, -1.87769544125, -0.651445329189, -10.7009477615, -0.0511326938868, -0.800279915333, 0.0255663469434, -0.879120879121, 0.0, 0.0, 0.0, -15.1171875
1549989889.12, -1.87769544125, -0.622705101967, -10.6147270203, -0.0516653247178, -0.760598838329, 0.0407463647425, -0.879120879121, 0.0, 0.0, 0.0, -19.6875
1549989889.22, -1.80105471611, -0.651445329189, -10.3273248672, -0.0521979592741, -0.686296641827, 0.0324905663729, -0.967032967033, 0.0, 0.0, 0.0, -24.609375
1549989889.32, -1.74357426167, -0.632285177708, -9.91538143158, -0.0380832031369, -0.554736495018, 0.0221042372286, -0.967032967033, 0.0, 0.0, 0.0, -29.00390625
1549989889.43, -1.59029304981, -0.632285177708, -9.47469806671, -0.0205063410103, -0.355265706778, 0.0234358180314, -0.967032967033, 0.0, 0.0, 0.0, -25.13671875
1549989889.53, -1.55197274685, -0.574804723263, -9.33099651337, -0.0114515926689, -0.207460254431, 0.0276968758553, -0.967032967033, 0.0, 0.0, 0.0, -36.38671875
1549989889.63, -1.55197274685, -0.632285177708, -9.23519611359, -0.00532632227987, 0.00319579336792, 0.0213052891195, -0.967032967033, 0.0, 0.0, 0.0, -38.671875
1549989889.73, -1.59029304981, -0.622705101967, -9.30225658417, 0.0127831725404, 0.195476025343, 0.00905474834144, -0.791208791209, 0.0, 0.0, 0.0, -39.90234375
1549989889.83, -1.60945320129, -0.613125026226, -9.54175853729, 0.033289514482, 0.384826779366, 0.00266316113994, -0.791208791209, 0.0, 0.0, 0.0, -40.078125
1549989889.93, -1.71483409405, -0.622705101967, -9.91538143158, 0.0418116301298, 0.557399630547, 0.0133158061653, -0.703296703297, 0.0, 0.0, 0.0, -39.19921875
1549989890.03, -1.81063485146, -0.632285177708, -10.1836233139, 0.0500674284995, 0.697215557098, 0.0157126504928, -0.703296703297, 0.0, 0.0, 0.0, -37.08984375
1549989890.13, -1.91601574421, -0.632285177708, -10.5859870911, 0.0593884922564, 0.818655729294, -0.00346210948192, -0.791208791209, 0.0, 0.0, 0.0, -34.27734375
1549989890.23, -1.91601574421, -0.632285177708, -10.6626272202, 0.0671116635203, 0.846618950367, 0.00133158056997, -0.879120879121, 0.0, 0.0, 0.0, -30.234375
1549989890.33, -1.93517589569, -0.641865253448, -10.6530475616, 0.062051653862, 0.84874945879, 0.00532632227987, -0.967032967033, 0.0, -0.0879120879121, 0.0, -26.71875
1549989890.43, -1.88727545738, -0.641865253448, -10.3752250671, 0.0551274344325, 0.786431491375, 0.0106526445597, -0.967032967033, 0.0, 0.0, 0.0, -21.09375
1549989890.53, -1.80105471611, -0.66102540493, -10.0111818314, 0.0583232305944, 0.684432387352, 0.00559263862669, -0.967032967033, 0.0, 0.0, 0.0, -18.984375
1549989890.63, -1.77231454849, -0.613125026226, -9.51301765442, 0.0356863588095, 0.501739561558, -0.00239684502594, -0.791208791209, 0.0, 0.0, 0.0, -12.48046875
1549989890.73, -1.68609380722, -0.603544950485, -9.35973644257, 0.0319579318166, 0.365385711193, 0.0125168571249, -0.615384615385, 0.0, 0.0, 0.0, -8.61328125
1549989890.83, -1.62861335278, -0.593964874744, -9.09149456024, 0.00852211564779, 0.171773895621, 0.0356863588095, -0.615384615385, 0.0, 0.0, 0.0, -5.625
